Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1989","1989","Head","234108678","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1990","1990","Head","228282931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1991","1991","Head","255820108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1992","1992","Head","266408174","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1993","1993","Head","272387923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1994","1994","Head","279036118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1995","1995","Head","295533780","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1996","1996","Head","292775452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1997","1997","Head","310184566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1998","1998","Head","327044344","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","1999","1999","Head","344334243","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2000","2000","Head","348398219","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2001","2001","Head","350697044","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2002","2002","Head","355675743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2003","2003","Head","375139752","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2004","2004","Head","403816920","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2005","2005","Head","419251259","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2006","2006","Head","422589824","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2007","2007","Head","431123873","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2008","2008","Head","445290571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2009","2009","Head","457679350","A","Aggregate, may include official, semi-official, estimated or calculated data"
